{100564495, Upplands Väsby, Stockholm}
{100328139, Eda, Värmland}
{100937224, Torsby, Värmland}
{105335884, Storfors, Värmland}
{104779600, Forshaga, Värmland}
{104656329, Årjäng, Värmland}
{103078487, Sunne, Värmland}
{107127441, Karlstad, Värmland}
{105871373, Kristinehamn, Värmland}
{105980896, Filipstad, Värmland}
{104975113, Hagfors, Värmland}
{100499792, Arvika, Värmland}
{100523169, Säffle, Värmland}
{100221309, Härryda, Västra Götaland}
{102364863, Öckerö, Västra Götaland}
{105477815, Stenungsund, Västra Götaland}
{101890025, Orust, Västra Götaland}
{105070754, Sotenäs, Västra Götaland}
{101636767, Munkedal, Västra Götaland}
{104968324, Tanum, Västra Götaland}
{100478425, Dals-Ed, Västra Götaland}
{103767615, Färgelanda, Västra Götaland}
{106835824, Ale, Västra Götaland}
{103593923, Lerum, Västra Götaland}
{100134621, Vårgårda, Västra Götaland}
{100358876, Bollebygd, Västra Götaland}
{101798531, Grästorp, Västra Götaland}
{106808472, Karlsborg, Västra Götaland}
{100010089, Gullspång, Västra Götaland}
{106768853, Tranemo, Västra Götaland}
{100456918, Bengtsfors, Västra Götaland}
{105061351, Mellerud, Västra Götaland}
{106109349, Lilla Edet, Västra Götaland}
{105595037, Mark, Västra Götaland}
{102797039, Svenljunga, Västra Götaland}
{100036516, Herrljunga, Västra Götaland}
{102395479, Vara, Västra Götaland}
{104602803, Götene, Västra Götaland}
{104808214, Tibro, Västra Götaland}
{102950811, Töreboda, Västra Götaland}
{104114836, Göteborg, Västra Götaland}
{100005113, Kungälv, Västra Götaland}
{102817435, Lysekil, Västra Götaland}
{101143683, Uddevalla, Västra Götaland}
{105394504, Strömstad, Västra Götaland}
{103278239, Vänersborg, Västra Götaland}
{104964648, Borås, Västra Götaland}
{100336438, Ulricehamn, Västra Götaland}
{101525275, Åmål, Västra Götaland}
{106977262, Mariestad, Västra Götaland}
{106221956, Lidköping, Västra Götaland}
{102640575, Skara, Västra Götaland}
{103082221, Hjo, Västra Götaland}
{103011545, Tidaholm, Västra Götaland}
{105505966, Falköping, Västra Götaland}
